
chr	start	end	LAF	logR
16	46615805	51185114	0.450382275	-0.087124401
16	53468625	58552045	0.444444444	-0.06685174
16	58552376	58768088	0.421052632	0.069966673
16	66413345	72993880	0.444444444	-0.003276477
16	74330849	78064598	0.429906542	-0.006594174
16	79628403	82197743	0.452631579	0.002084073
16	83983083	90128564	0.441176471	-0.037690232
17	63678	21319839	0.441860465	0.022154884
17	25628898	28598347	0.449275362	-0.006209245
17	28599612	30801812	0.445544554	0.182131666
17	30804570	39036938	0.444204981	0.036581983
17	39038865	39777930	0.416237113	-0.196799733
17	39778729	48068919	0.4375	0.089615081
17	48069064	50235116	0.442105263	-0.018148983
17	52978255	56620724	0.446526781	-0.028467971
17	56620868	63052548	0.447368421	0.092090507
17	63526157	64299107	0.018732493	-0.864941474
17	64492360	68172292	0.452380952	0.046459814
17	70117634	81052160	0.451612903	0.000912244
18	163380	909541	0.083333333	-0.748148965
18	2539070	3879980	0.035845251	-0.848602291
18	5291008	14124401	0.071898496	-0.894463195
18	18533642	24442509	0.048043728	-0.847962226
18	28574193	35145518	0.053030303	-0.90924177
18	42281542	48723013	0.049382716	-0.931568429
18	49867203	53254311	0.0494879	-0.927623853
18	54278276	58039394	0.053248588	-0.898088407
18	59157909	61654356	0.042253521	-0.9311626
18	71740781	73139454	0.03652583	-1.05725903
18	76752147	78005195	0.060810811	-1.007468953
19	110744	22000730	0.444444444	0.076454785
19	32873670	51227322	0.446808511	0.078053602
19	51227767	59082576	0.441645516	0.01867182
20	68379	6759517	0.447513812	-0.050970347
20	7864275	10653600	0.455012853	-0.130498841
20	15843430	25666722	0.439306358	-0.111628682
20	29956482	37662904	0.265	0.948376612
20	39316639	40162014	0.244698388	0.826280419
20	42086727	50803490	0.251836229	0.900237971
20	51870191	53266986	0.289725123	0.869007281
20	54573711	58645773	0.234693878	0.862899705
20	59829937	62904810	0.240689655	0.847700318
21	14982584	17250703	0.413627321	-0.029555417
21	26960057	28338338	0.435791042	-0.115615458
21	30248760	41300972	0.449576271	0.037366848
21	42617939	48083380	0.435149845	-0.086107128
22	16448871	27026377	0.43666429	-0.045717463
22	28254427	34157410	0.444794953	0.012654387
22	35659145	47569205	0.338964124	0.541504532
22	50167973	51220669	0.357142857	0.520717233
